,indicator,result
0,EMA100 / EMA200,-4.605
1,EMA100 / EMA300,-5.662000000000001
2,EMA100 / EMA400,-7.964
3,EMA100 / EMA500,-8.921
4,EMA100 / EMA600,-10.325
5,EMA100 / EMA700,-9.0
6,EMA100 / EMA800,-5.6370000000000005
7,EMA100 / EMA900,-8.655000000000003
8,EMA100 / EMA1000,-8.648
9,EMA100 / EMA1100,-7.919999999999999
10,EMA100 / EMA1200,-7.447999999999999
11,EMA100 / EMA1300,-7.529999999999999
12,EMA100 / EMA1400,-9.264
13,EMA100 / EMA1500,-8.645999999999999
14,EMA100 / EMA1600,-9.846
15,EMA100 / EMA1700,-10.646
16,EMA100 / EMA1800,-12.680000000000001
17,EMA100 / EMA1900,-9.886
18,EMA100 / EMA2000,-8.908999999999999
19,EMA100 / EMA2100,-8.274999999999999
20,EMA100 / EMA2200,-9.346000000000002
21,EMA100 / EMA2300,-9.266
22,EMA100 / EMA2400,-9.925999999999998
23,EMA100 / EMA2500,-7.989999999999998
24,EMA100 / EMA2600,-7.321
25,EMA100 / EMA2700,-4.116
26,EMA100 / EMA2800,-3.674999999999999
27,EMA100 / EMA2900,-5.557
28,EMA100 / EMA3000,-6.71
29,EMA100 / EMA3100,-6.761
30,EMA100 / EMA3200,-6.493999999999999
31,EMA100 / EMA3300,-6.02
32,EMA100 / EMA3400,-5.777
33,EMA100 / EMA3500,-5.588
34,EMA100 / EMA3600,-6.393
35,EMA100 / EMA3700,-5.957
36,EMA100 / EMA3800,-5.885
37,EMA100 / EMA3900,-6.8149999999999995
38,EMA100 / EMA4000,-7.236999999999999
39,EMA100 / EMA4100,-6.972
40,EMA100 / EMA4200,-7.741000000000001
41,EMA100 / EMA4300,-6.579
42,EMA100 / EMA4400,-5.988
43,EMA100 / EMA4500,-7.164
44,EMA100 / EMA4600,-5.3180000000000005
45,EMA100 / EMA4700,-5.8420000000000005
46,EMA100 / EMA4800,-4.959
47,EMA100 / EMA4900,-4.524
48,EMA100 / EMA5000,-4.666
49,EMA100 / EMA5100,-3.8619999999999997
50,EMA100 / EMA5200,-3.8850000000000002
51,EMA100 / EMA5300,-4.155
52,EMA100 / EMA5400,-3.4739999999999998
53,EMA100 / EMA5500,-3.6930000000000005
54,EMA100 / EMA5600,-3.2249999999999996
55,EMA100 / EMA5700,-2.9840000000000004
56,EMA100 / EMA5800,-2.8049999999999997
57,EMA100 / EMA5900,-2.506
58,EMA100 / EMA6000,-2.622
59,EMA100 / EMA6100,-3.04
60,EMA100 / EMA6200,-2.551
61,EMA100 / EMA6300,-3.746
62,EMA100 / EMA6400,-2.9669999999999996
63,EMA100 / EMA6500,-2.392
64,EMA100 / EMA6600,-2.6079999999999997
65,EMA100 / EMA6700,-2.923
66,EMA100 / EMA6800,-2.858
67,EMA100 / EMA6900,-1.4300000000000002
68,EMA100 / EMA7000,-1.54
69,EMA100 / EMA7100,-1.5870000000000002
70,EMA100 / EMA7200,-2.0869999999999997
71,EMA100 / EMA7300,-1.996
72,EMA100 / EMA7400,-1.891
73,EMA100 / EMA7500,-1.976
74,EMA100 / EMA7600,-2.175
75,EMA100 / EMA7700,-2.1879999999999997
76,EMA100 / EMA7800,-1.976
77,EMA100 / EMA7900,-1.7970000000000002
78,EMA100 / EMA8000,-1.76
79,EMA100 / EMA8100,-1.947
80,EMA100 / EMA8200,-1.8450000000000002
81,EMA100 / EMA8300,-1.826
82,EMA100 / EMA8400,-3.128
83,EMA100 / EMA8500,-3.885
84,EMA100 / EMA8600,-4.091
85,EMA100 / EMA8700,-3.2560000000000002
86,EMA100 / EMA8800,-3.975
87,EMA100 / EMA8900,-3.8340000000000005
88,EMA100 / EMA9000,-3.1369999999999996
89,EMA100 / EMA9100,-3.4560000000000004
90,EMA100 / EMA9200,-3.012
91,EMA100 / EMA9300,-3.77
92,EMA100 / EMA9400,-3.509
93,EMA100 / EMA9500,-3.049
94,EMA100 / EMA9600,-2.876
95,EMA100 / EMA9700,-2.79
96,EMA100 / EMA9800,-3.1689999999999996
97,EMA100 / EMA9900,-4.084
98,EMA100 / EMA10000,-3.5779999999999994
99,EMA200 / EMA300,-11.057999999999996
100,EMA200 / EMA400,-8.376999999999999
101,EMA200 / EMA500,-9.037
102,EMA200 / EMA600,-6.054999999999999
103,EMA200 / EMA700,-6.272999999999999
104,EMA200 / EMA800,-5.863000000000001
105,EMA200 / EMA900,-4.7620000000000005
106,EMA200 / EMA1000,-4.63
107,EMA200 / EMA1100,-5.619999999999999
108,EMA200 / EMA1200,-4.127999999999999
109,EMA200 / EMA1300,-4.664000000000001
110,EMA200 / EMA1400,-5.442000000000001
111,EMA200 / EMA1500,-5.379
112,EMA200 / EMA1600,-5.862
113,EMA200 / EMA1700,-6.04
114,EMA200 / EMA1800,-5.132000000000001
115,EMA200 / EMA1900,-6.564
116,EMA200 / EMA2000,-7.351000000000001
117,EMA200 / EMA2100,-6.7059999999999995
118,EMA200 / EMA2200,-4.6000000000000005
119,EMA200 / EMA2300,-5.686
120,EMA200 / EMA2400,-2.8449999999999998
121,EMA200 / EMA2500,-4.758000000000001
122,EMA200 / EMA2600,-4.744
123,EMA200 / EMA2700,-4.727
124,EMA200 / EMA2800,-3.901
125,EMA200 / EMA2900,-4.95
126,EMA200 / EMA3000,-4.696
127,EMA200 / EMA3100,-4.944000000000001
128,EMA200 / EMA3200,-4.760000000000001
129,EMA200 / EMA3300,-5.222999999999999
130,EMA200 / EMA3400,-5.051000000000001
131,EMA200 / EMA3500,-5.376
132,EMA200 / EMA3600,-4.566000000000001
133,EMA200 / EMA3700,-5.346
134,EMA200 / EMA3800,-5.938999999999999
135,EMA200 / EMA3900,-4.832999999999999
136,EMA200 / EMA4000,-4.032
137,EMA200 / EMA4100,-3.2350000000000003
138,EMA200 / EMA4200,-4.5809999999999995
139,EMA200 / EMA4300,-3.089
140,EMA200 / EMA4400,-1.2429999999999999
141,EMA200 / EMA4500,-2.084
142,EMA200 / EMA4600,-1.677
143,EMA200 / EMA4700,-1.7240000000000002
144,EMA200 / EMA4800,-1.28
145,EMA200 / EMA4900,-1.406
146,EMA200 / EMA5000,-1.8479999999999999
147,EMA200 / EMA5100,-2.008
148,EMA200 / EMA5200,-1.941
149,EMA200 / EMA5300,-2.215
150,EMA200 / EMA5400,-2.449
151,EMA200 / EMA5500,-2.082
152,EMA200 / EMA5600,-1.9
153,EMA200 / EMA5700,-2.226
154,EMA200 / EMA5800,-2.137
155,EMA200 / EMA5900,-1.5259999999999998
156,EMA200 / EMA6000,-1.7550000000000001
157,EMA200 / EMA6100,-1.653
158,EMA200 / EMA6200,-1.7469999999999999
159,EMA200 / EMA6300,-1.771
160,EMA200 / EMA6400,-1.987
161,EMA200 / EMA6500,-2.585
162,EMA200 / EMA6600,-2.387
163,EMA200 / EMA6700,-5.683999999999999
164,EMA200 / EMA6800,-3.5999999999999996
165,EMA200 / EMA6900,-3.28
166,EMA200 / EMA7000,-1.9100000000000001
167,EMA200 / EMA7100,-2.279
168,EMA200 / EMA7200,-2.635
169,EMA200 / EMA7300,-3.144
170,EMA200 / EMA7400,-2.689
171,EMA200 / EMA7500,-2.503
172,EMA200 / EMA7600,-2.532
173,EMA200 / EMA7700,-2.8
174,EMA200 / EMA7800,-2.356
175,EMA200 / EMA7900,-2.296
176,EMA200 / EMA8000,-2.373
177,EMA200 / EMA8100,-2.016
178,EMA200 / EMA8200,-2.459
179,EMA200 / EMA8300,-2.0700000000000003
180,EMA200 / EMA8400,-2.141
181,EMA200 / EMA8500,-3.148
182,EMA200 / EMA8600,-3.507
183,EMA200 / EMA8700,-2.287
184,EMA200 / EMA8800,-2.331
185,EMA200 / EMA8900,-2.724
186,EMA200 / EMA9000,-2.7960000000000003
187,EMA200 / EMA9100,-2.743
188,EMA200 / EMA9200,-2.9059999999999997
189,EMA200 / EMA9300,-3.056
190,EMA200 / EMA9400,-3.473
191,EMA200 / EMA9500,-3.3360000000000003
192,EMA200 / EMA9600,-3.143
193,EMA200 / EMA9700,-3.254
194,EMA200 / EMA9800,-2.669
195,EMA200 / EMA9900,-2.479
196,EMA200 / EMA10000,-2.592
197,EMA300 / EMA400,-8.635000000000002
198,EMA300 / EMA500,-8.145999999999999
199,EMA300 / EMA600,-5.8759999999999994
200,EMA300 / EMA700,-3.3960000000000004
201,EMA300 / EMA800,-3.812
202,EMA300 / EMA900,-1.502
203,EMA300 / EMA1000,-0.925
204,EMA300 / EMA1100,-0.5120000000000002
205,EMA300 / EMA1200,-1.647
206,EMA300 / EMA1300,-0.2899999999999998
207,EMA300 / EMA1400,1.8949999999999998
208,EMA300 / EMA1500,0.6519999999999998
209,EMA300 / EMA1600,1.185
210,EMA300 / EMA1700,0.4499999999999999
211,EMA300 / EMA1800,-0.9839999999999998
212,EMA300 / EMA1900,-1.369
213,EMA300 / EMA2000,-0.3800000000000001
