,indicator,result
0,EMA100 / EMA200,-9.706000000000001
1,EMA100 / EMA300,-5.997999999999998
2,EMA100 / EMA400,-10.672000000000004
3,EMA100 / EMA500,-12.097
4,EMA100 / EMA600,-12.371999999999998
5,EMA100 / EMA700,-9.474
6,EMA100 / EMA800,-7.6930000000000005
7,EMA100 / EMA900,-11.827999999999998
8,EMA100 / EMA1000,-9.821
9,EMA200 / EMA300,-12.483999999999998
10,EMA200 / EMA400,-9.386000000000003
11,EMA200 / EMA500,-7.513999999999999
12,EMA200 / EMA600,-8.005999999999998
13,EMA200 / EMA700,-10.978
14,EMA200 / EMA800,-12.247999999999998
15,EMA200 / EMA900,-10.729000000000003
16,EMA200 / EMA1000,-9.503000000000002
17,EMA300 / EMA400,-8.177000000000001
18,EMA300 / EMA500,-11.191000000000003
19,EMA300 / EMA600,-10.522999999999998
20,EMA300 / EMA700,-10.800999999999998
21,EMA300 / EMA800,-8.703
22,EMA300 / EMA900,-3.742
23,EMA300 / EMA1000,-2.1100000000000003
24,EMA400 / EMA500,-6.648999999999999
25,EMA400 / EMA600,-6.9899999999999975
26,EMA400 / EMA700,-1.7230000000000005
27,EMA400 / EMA800,-2.4889999999999994
28,EMA400 / EMA900,-2.628
29,EMA400 / EMA1000,-3.325
30,EMA500 / EMA600,-2.810999999999999
31,EMA500 / EMA700,-1.0779999999999994
32,EMA500 / EMA800,-2.9480000000000004
33,EMA500 / EMA900,-1.4520000000000017
34,EMA500 / EMA1000,1.6369999999999993
35,EMA600 / EMA700,-1.5819999999999999
36,EMA600 / EMA800,-0.22100000000000108
37,EMA600 / EMA900,-1.0419999999999998
38,EMA600 / EMA1000,-1.463999999999999
39,EMA700 / EMA800,-2.5010000000000003
40,EMA700 / EMA900,-0.3160000000000005
41,EMA700 / EMA1000,1.0470000000000006
42,EMA800 / EMA900,0.26799999999999957
43,EMA800 / EMA1000,1.4080000000000006
44,EMA900 / EMA1000,0.7810000000000001
